English,Polish
sympathy,współczucie
pill,pigułka
pee,robić siku
lean,pochylić się
filthy,brudny
cliff,Klif
burger,burger
web,sieć
seventeen,siedemnaście
landed,wylądował
expression,wyrażenie
entrance,wejście
employee,pracownik
drawing,rysunek
cap,czapka
bunny,królik
bracelet,bransoletka
thirteen,trzynaście
scout,zwiadowca
principal,główny
pays,płaci
Jen's,Jen
fairly,raczej
facility,obiekt
Dru,Dru
deeper,głębiej
arrive,przyjechać
unique,jedyny w swoim rodzaju
tracking,śledzenie
spite,uraza
shed,szopa
recommend,polecić
oughta,powinien
nanny,niania
naive,naiwny
menu,menu
grades,klas
diet,dieta
corn,kukurydza
authorities,władze
Walsh,Walsh
separated,rozdzielony
roses,róże
patch,skrawek
grey,szary
dime,moneta dziesięciocentowa
devastated,zdruzgotany
description,opis
tap,uzyskiwać
subtle,subtelny
include,włączać
Harris,Harris
garrison,garnizon
citizen,obywatel
bullets,kule
beans,fasolki
Ric,Ric
pile,stos 
metal,metal
las,las
Kelso,Kelso
executive,wykonawczy
confirm,potwierdzać
capital,stolica
adults,dorośli ludzie
Traci,Traci
toe,palec u nogi
strings,smyczki
parade,parada
harbor,port
charity's,Organizacja charytatywna
bow,ukłon
borrowed,pożyczone
booth,budka
toys,zabawki
straighten,wyprostować
steak,stek
status,status
remote,zdalny
premonition,przeczucie
poem,wiersz
planted,posadzony
honored,zaszczycony
youth,młodzież
specifically,konkretnie
meetings,spotkania
Lopez,Lopez
exam,egzamin
daily,codzienny
convenient,wygodna
traveling,podróżny
matches,mecze
laying,nośny
insisted,nalegał
crystal,kryształ
apply,zastosować
units,jednostki
technology,technologia
steel,stal
muscle,mięsień
Joel,Joel
dish,danie
aitoro,Aitoro
sis,siostra
sales,obroty
Marie,Marie
legend,legenda
kindly,uprzejmie
grandson,wnuk
donor,dawca
wheels,koła
temper,hartować
teenager,nastolatek
strategy,strategia
richard's,Richard's
proven,udowodniony
mothers,matki
monitor,monitor
iron,żelazo
houses,domy
eternity,wieczność
denial,odmowa
Dana,Dana
couples,pary
backwards,wstecz
tent,namiot
swell,puchnąć
noon,południe
happiest,Najszczęśliwszy
gotcha,Gotcha
episode,epizod
drives,Drives
bacon,boczek